word_hex	blocker_count	blockers_zero_based
08810b14	3	258,1119,1626
088120d4	3	486,1264,1566
0881d024	4	8,364,1251,1503
0882b048	4	187,1111,1316,1376
08838882	4	340,405,1031,1291
0884014e	4	331,1172,1289,1302
08842232	3	105,528,1269
0884e401	4	105,1468,1531,1579
08858888	4	155,358,1031,1353
08862424	4	17,447,818,1233
08878880	1	1031
08887880	2	226,1032
08888780	2	1049,1632
08888831	4	340,1486,1654,1664
08888852	4	164,340,1053,1262
08888862	3	183,340,1183
08888870	1	340
088e2024	1	447
08911282	3	426,1153,1302
08914811	4	151,258,362,1039
08a14811	4	247,258,362,794
08a22482	3	17,432,1291
08b02482	3	17,152,291
08b04811	3	362,1039,1516
08b14011	4	122,284,362,406
08b14801	3	122,362,1039
08b20482	4	17,152,1178,1259
08b22480	3	17,432,1332
08b48204	2	21,1033
08b81108	4	122,223,305,363
08c11282	4	426,1231,1552,1628
08c44182	4	491,1173,1289,1322
08d02844	3	451,1111,1119
08d11082	2	426,1252
08d11202	4	426,1153,1231,1628
08d28101	3	446,1422,1570
08e01822	3	224,1196,1552
08e44102	4	491,1164,1289,1470
090060a3	4	1108,1476,1482,1562
09030035	2	1303,1566
090300ca	4	1172,1194,1303,1566
090c0035	1	447
090c003a	2	1172,1303
090c00c5	3	1172,1520,1566
09114221	4	201,444,546,1345
09122148	3	321,1092,1372
09188128	4	494,1092,1345,1490
09241124	4	15,393,818,1561
09241144	3	500,947,1316
09288248	3	402,1172,1316
09844824	4	294,440,447,1108
09882428	4	112,223,528,1108
0a005036	4	477,1269,1270,1301
0a0050c9	4	477,1301,1376,1576
0a00a039	4	477,1269,1376,1389
0a060093	4	68,275,1473,1629
0a09009c	4	68,1113,1317,1629
0a111111	4	477,1045,1524,1629
0a111114	4	1045,1099,1242,1524
0a122148	4	19,321,1099,1376
0a241124	4	15,393,1325,1561
0a241144	4	772,863,998,1301
0a244211	4	147,477,1325,1470
0a288248	3	402,1113,1376
0b101488	2	94,238
0b102142	4	321,1184,1482,1651
0b201124	2	393,1561
0b202411	3	350,1340,1482
0b208248	3	402,1316,1376
0b212401	3	350,387,393
0b224802	1	259
0b241024	2	393,1561
0b241104	3	366,393,1561
0b280248	4	402,1113,1172,1564
0b288208	1	402
0b401212	4	176,475,1561,1628
0b404444	4	356,1034,1301,1554
0b408181	4	366,448,1376,1562
0b444048	4	376,498,1034,1172
0b444440	1	1034
0b801841	2	161,217
0b802284	4	116,356,1108,1340
