parent	radius	flips	target_kind	target_index
138	1	18,37	base	91
138	1	36,37	base	139
138	1	35,40	base	87
139	1	10,14	base	27
139	1	18,23	base	140
139	1	21,23	base	138
139	1	17,24	base	111
139	1	21,35	base	142
139	1	22,36	base	163
139	1	37,40	base	136
140	1	10,14	base	25
140	1	17,22	base	112
140	1	20,33	base	143
140	1	21,34	base	165
140	1	20,37	base	91
140	1	36,37	base	139
140	1	35,40	base	137
141	1	11,15	base	47
141	1	20,23	base	88
141	1	18,24	base	68
141	1	22,35	base	157
141	1	17,36	base	142
141	1	23,37	base	134
141	1	37,40	base	136
141	4	0,20;13,21;27,35;16,39	base	89
142	1	11,15	base	46
142	1	19,22	base	143
142	1	17,23	base	106
142	1	21,34	base	161
142	1	22,36	base	133
142	1	36,39	base	139
142	1	35,40	base	141
143	1	11,15	base	45
143	1	17,21	base	107
143	1	20,32	base	164
143	1	34,36	base	142
143	1	35,36	complement	40
143	1	35,39	base	140
143	1	33,40	base	88
144	1	0,1	base	214
144	1	22,23	base	324
144	1	30,31	base	147
144	1	32,33	base	297
144	1	34,35	base	148
144	1	34,36	base	287
144	1	35,37	base	287
144	1	36,37	base	145
145	1	0,1	base	212
145	1	22,23	base	323
145	1	30,31	base	144
145	1	32,33	base	146
145	1	34,35	base	295
145	1	36,37	base	149
146	1	0,1	base	213
146	1	22,23	base	322
146	1	30,31	base	147
146	1	32,33	base	296
146	1	34,35	base	150
146	1	38,39	base	145
147	1	0,1	complement	23
147	1	22,23	base	325
147	1	30,31	base	298
147	1	32,33	base	151
