parent	edge_1	edge_2	edge_3	edge_4	edge_5	edge_6	target_kind	target_index
10	2,3	18,19	20,21	36,40	37,41	40,41	base	126
11	0,1	14,21	17,24	2,28	24,30	29,37	base	66
11	0,1	15,20	20,21	3,27	31,33	16,38	base	154
11	0,1	15,20	3,27	24,30	31,33	16,38	base	66
11	0,1	15,20	3,27	31,33	16,38	24,38	base	69
11	0,1	15,20	3,27	31,33	16,38	30,39	base	71
11	0,1	15,20	3,27	31,33	23,35	16,38	base	106
11	0,1	5,7	15,20	3,27	31,33	16,38	base	141
11	0,1	5,7	20,21	24,30	30,39	38,39	base	86
11	14,21	17,24	2,28	24,30	22,32	29,37	base	62
11	14,21	17,24	2,28	24,30	29,37	24,38	base	75
11	14,21	17,24	2,28	24,30	29,37	30,39	base	53
11	14,21	17,24	2,28	24,30	29,37	38,39	base	59
11	14,21	20,21	17,24	2,28	24,30	29,37	base	125
11	15,20	20,21	3,27	24,30	31,33	16,38	base	125
11	15,20	20,21	3,27	31,33	16,38	24,38	base	122
11	15,20	20,21	3,27	31,33	16,38	30,39	base	227
11	15,20	20,21	3,27	31,33	23,35	16,38	base	223
11	15,20	3,27	24,30	31,33	16,38	24,38	base	75
11	15,20	3,27	24,30	31,33	16,38	30,39	base	53
11	15,20	3,27	24,30	31,33	23,35	16,38	base	62
11	15,20	3,27	31,33	16,38	24,38	30,39	base	56
11	15,20	3,27	31,33	23,35	16,38	24,38	base	64
11	15,20	3,27	31,33	23,35	16,38	30,39	base	55
11	5,7	14,21	17,24	2,28	24,30	29,37	base	44
11	5,7	15,20	20,21	3,27	31,33	16,38	base	49
11	5,7	15,20	3,27	24,30	31,33	16,38	base	44
11	5,7	15,20	3,27	31,33	16,38	24,38	base	48
11	5,7	15,20	3,27	31,33	16,38	30,39	base	28
11	5,7	15,20	3,27	31,33	23,35	16,38	base	46
12	0,1	4,20	19,23	21,23	3,26	36,37	base	155
12	0,1	4,5	5,17	2,28	22,38	34,39	base	71
12	0,1	4,5	6,7	19,23	19,32	32,38	base	89
12	0,1	5,17	19,23	2,28	22,38	34,39	base	155
12	0,1	5,17	2,28	19,32	22,38	34,39	base	154
12	0,1	5,17	2,28	22,38	23,38	34,39	base	182
12	0,1	5,17	2,28	24,31	22,38	34,39	base	114
12	0,1	6,7	5,17	2,28	22,38	34,39	base	156
12	4,20	19,23	21,23	3,26	19,32	36,37	base	125
12	4,20	19,23	21,23	3,26	25,30	36,37	base	224
12	4,20	19,23	21,23	3,26	36,37	23,38	base	81
12	4,20	19,23	21,23	3,26	36,37	32,38	base	227
12	4,5	4,20	19,23	21,23	3,26	36,37	base	53
12	4,5	5,17	19,23	2,28	22,38	34,39	base	53
12	4,5	5,17	2,28	19,32	22,38	34,39	base	59
12	4,5	5,17	2,28	22,38	23,38	34,39	base	56
12	4,5	5,17	2,28	24,31	22,38	34,39	base	55
12	4,5	6,7	5,17	2,28	22,38	34,39	base	28
12	5,17	19,23	2,28	19,32	22,38	34,39	base	125
12	5,17	19,23	2,28	22,38	23,38	34,39	base	81
12	5,17	19,23	2,28	24,31	22,38	34,39	base	224
12	5,17	2,28	19,32	22,38	23,38	34,39	base	122
12	5,17	2,28	24,31	19,32	22,38	34,39	base	223
12	5,17	2,28	24,31	22,38	23,38	34,39	base	220
12	6,7	4,20	19,23	21,23	3,26	36,37	base	33
