orbit,packings,calls1,calls2,calls3,calls4,candidates1,candidates2,candidates3,candidates4,found
467,8062,0,16,1250,8062,0,0,16,1250,0
468,4176,0,21,1093,4176,0,0,21,1093,0
469,688,0,5,227,688,0,0,5,227,0
470,2110,0,8,570,2110,0,0,8,570,0
471,3998,0,11,945,3998,0,0,11,945,0
472,424,0,2,119,424,0,0,2,119,0
473,2581,0,12,627,2581,0,0,12,627,0
474,2981,0,6,699,2981,0,0,6,699,0
475,2595,0,1,534,2595,0,0,1,534,0
476,2258,0,11,528,2258,0,0,11,528,0
477,186,0,4,77,186,0,0,4,77,0
478,4832,0,13,1049,4832,0,0,13,1049,0
479,121,0,0,47,121,0,0,0,47,0
480,4990,0,15,1224,4990,0,0,15,1224,0
481,1330,0,6,395,1330,0,0,6,395,0
482,1562,0,5,390,1562,0,0,5,390,0
483,468,0,0,141,468,0,0,0,141,0
484,2588,0,17,549,2588,0,0,17,549,0
485,4919,0,17,1130,4919,0,0,17,1130,0
486,5615,0,7,1128,5615,0,0,7,1128,0
487,140,0,0,51,140,0,0,0,51,0
488,1045,0,5,343,1045,0,0,5,343,0
489,1266,0,3,254,1266,0,0,3,254,0
490,5207,0,19,1064,5207,0,0,19,1064,0
491,2963,0,13,648,2963,0,0,13,648,0
492,5836,0,11,1024,5836,0,0,11,1024,0
493,6131,0,17,1260,6131,0,0,17,1260,0
494,1475,0,4,371,1475,0,0,4,371,0
495,465,0,2,114,465,0,0,2,114,0
496,4095,0,7,638,4095,0,0,7,638,0
497,1221,0,3,344,1221,0,0,3,344,0
498,1164,0,3,303,1164,0,0,3,303,0
499,578,0,1,146,578,0,0,1,146,0
500,407,0,2,147,407,0,0,2,147,0
501,323,0,3,103,323,0,0,3,103,0
502,2356,0,5,682,2356,0,0,5,682,0
503,390,0,2,131,390,0,0,2,131,0
504,269,0,0,58,269,0,0,0,58,0
505,473,0,3,151,473,0,0,3,151,0
506,3647,0,9,793,3647,0,0,9,793,0
507,245,0,2,77,245,0,0,2,77,0
508,1625,0,5,425,1625,0,0,5,425,0
509,4061,0,5,787,4061,0,0,5,787,0
510,840,0,1,254,840,0,0,1,254,0
511,3578,0,10,761,3578,0,0,10,761,0
512,7110,0,23,1465,7110,0,0,23,1465,0
513,63,0,0,14,63,0,0,0,14,0
514,3538,0,5,672,3538,0,0,5,672,0
515,316,0,3,113,316,0,0,3,113,0
516,6386,0,7,1149,6386,0,0,7,1149,0
517,5919,0,9,1068,5919,0,0,9,1068,0
518,6413,0,14,1229,6413,0,0,14,1229,0
519,479,0,4,147,479,0,0,4,147,0
520,621,0,0,131,621,0,0,0,131,0
521,8285,0,9,1158,8285,0,0,9,1158,0
522,1418,0,2,301,1418,0,0,2,301,0
523,1588,0,1,314,1588,0,0,1,314,0
524,5934,0,8,979,5934,0,0,8,979,0
525,895,0,2,236,895,0,0,2,236,0
526,527,0,5,146,527,0,0,5,146,0
527,2020,0,7,487,2020,0,0,7,487,0
528,3919,0,17,803,3919,0,0,17,803,0
529,3138,0,10,626,3138,0,0,10,626,0
530,4251,0,6,775,4251,0,0,6,775,0
