index,cnf_sha256,proof_sha256,proof_bytes
134,af98864ce4aef2e6f25c1fdae1d685f6f41e1bcf638d46499f8e6354e097088b,7359343f95416ce28a18871b8af95e8980ae8cef9bdd2d38abe4faa672dde8ac,125152
135,1b56963def172d749efa83b8a1552815cdd6f2b0e6c522d10d60410d0cb769d7,bf4ac2a381cc38922c05aeb595c9895faa1994128d072001f887038b53a368b1,156453
136,ba581b614768e36e1fd0732b567530c3153e7c0a63e05843732037f667b521a0,11c3ace89467028ab2351c49138a6e73140d8dd4aaf7b1996440467dd16370c1,111799
137,f67fbc622f09d37e0eabfd68192ae4048f6cd7c1e9543c8d6ff615aa2dee868d,5c805905e928b0226e705d553ef710ee3c914a8f57d2c5bb25769c4d657eeb70,100884
138,0f528cd62379cae8d085160f94b9d8b94fdf52834ca3abce710cc4e8afcc11a6,933e12483b94f16482b7ae17f914d03dc3a317b86dfa638bd0cc908cf8de59fc,139294
139,59cb864fb64e6f0c102220e5874aed74e1ce6b6e6e4d6f98b11215b6472aeda2,eab6f443eb1b3d1a839c37f672a1fd702e83a788f40d2f34527ece6b955cdfce,88794
140,145965a57ed31f68bfe8876145b7b5a0776ca456dcbac5147ae43011cb182e6c,e0a3d6f506668bc11ab4d3fbc04c450c3e09aa49acfe72dc901b866b1f780346,210704
141,8d854f60200d7d7e9ffbc4a9c243f172a332014fe2bd92d66356515e506c7d1c,3b0b4c651a410687637dfeb0a46679132744119c0cdc0728d11d95fa360748c8,196948
142,2e64e2239da96cc9d408c784c0673eb3cd12dd13008820797d580389ef16556f,cfb9d65e6b6f3382bf4ef5c193a768d42b529c863c97c44935e7a7e9ece3dc02,53068
143,8e75e5d1716fcb9dcaeb1e14634f313ca489ec9987225268fd8c83e6d60c03f3,2919e39f880710fd576a3f60e04f3af955c733c1cb851eb72f5a5946e03b9903,159654
