orbit,packings,unsat,unknown,sat,calls,queries,options,leaves,max_calls,parent_rows
1760,255,255,0,0,175373,175372,175118,1,2003,2121155
1761,280,280,0,0,220465,220464,220185,1,2255,2221808
1762,360,360,0,0,214276,214276,213916,0,1911,2319667
1763,180,180,0,0,123810,123809,123630,1,1920,2055495
1764,353,353,0,0,264244,264244,263891,0,2348,2297662
1765,301,301,0,0,278757,278754,278456,3,2563,2184322
1766,62,62,0,0,78266,78265,78204,1,2424,1598152
1767,164,164,0,0,181755,181755,181591,0,2818,2078485
1768,320,320,0,0,214853,214851,214533,2,1869,2179890
1769,567,567,0,0,378682,378682,378115,0,2594,2434470
1770,242,242,0,0,173160,173160,172918,0,2225,2020450
1771,143,143,0,0,181786,181784,181643,2,2969,1883232
1772,546,546,0,0,397200,397197,396654,3,2724,2386187
1773,360,360,0,0,194757,194757,194397,0,1596,2172648
1774,471,471,0,0,391932,391931,391461,1,2323,2362945
1775,208,208,0,0,210460,210460,210252,0,3002,1972351
1776,310,310,0,0,300794,300790,300484,4,2435,2192739
1777,229,229,0,0,180798,180796,180569,2,1917,2040734
1778,349,349,0,0,311648,311646,311299,2,2933,2328307
1779,144,144,0,0,127993,127992,127849,1,2118,1946093
1780,221,221,0,0,216528,216527,216307,1,2861,1965525
1781,50,50,0,0,70392,70391,70342,1,3237,1612854
1782,63,63,0,0,75600,75600,75537,0,2321,1699499
1783,302,302,0,0,216126,216126,215824,0,2128,2146027
1784,251,251,0,0,163871,163870,163620,1,1944,2040487
1785,461,461,0,0,296871,296869,296410,2,2044,2209549
1786,321,321,0,0,189707,189706,189386,1,1719,2250794
1787,272,272,0,0,272051,272049,271779,2,2967,2103250
1788,47,47,0,0,60226,60225,60179,1,2562,1632214
1789,495,495,0,0,384652,384651,384157,1,2335,2309339
1790,171,171,0,0,132278,132277,132107,1,1766,2144462
1791,275,275,0,0,162458,162458,162183,0,1689,2132535
1792,126,126,0,0,161347,161346,161221,1,2635,1824770
1793,268,268,0,0,182883,182883,182615,0,2491,2157664
1794,182,182,0,0,123630,123630,123448,0,1984,1963435
1795,62,62,0,0,70855,70854,70793,1,2282,1708004
1796,307,307,0,0,237795,237794,237488,1,2217,2162669
1797,256,256,0,0,220068,220068,219812,0,2755,1992111
1798,113,113,0,0,85495,85494,85382,1,1811,1822359
1799,641,641,0,0,468641,468637,468000,4,2192,2580517
1800,262,262,0,0,195518,195516,195256,2,2777,2045008
1801,272,272,0,0,187339,187339,187067,0,2111,2108502
1802,508,508,0,0,308315,308314,307807,1,1995,2368807
1803,67,67,0,0,62529,62529,62462,0,1889,1845539
1804,296,296,0,0,293419,293418,293123,1,2768,2152811
1805,291,291,0,0,235309,235308,235018,1,2821,2219967
1806,397,397,0,0,334505,334502,334108,3,2755,2262164
1807,104,104,0,0,93245,93245,93141,0,2233,1806546
1808,148,148,0,0,142659,142657,142511,2,2466,2008830
1809,423,423,0,0,376836,376834,376413,2,3073,2215392
1810,227,227,0,0,198518,198516,198291,2,2356,2060432
1811,320,320,0,0,248297,248297,247977,0,2373,2299630
1812,128,128,0,0,107891,107891,107763,0,2152,1993188
1813,219,219,0,0,177100,177100,176881,0,2060,2027161
1814,112,112,0,0,117649,117648,117537,1,2993,1748095
1815,276,276,0,0,302153,302152,301877,1,3645,2157493
1816,285,285,0,0,172888,172886,172603,2,1861,2116072
1817,160,160,0,0,110736,110735,110576,1,1696,2112185
1818,110,110,0,0,123117,123116,123007,1,2628,1738265
1819,78,78,0,0,72505,72504,72427,1,2307,1762415
1820,157,157,0,0,151020,151020,150863,0,2543,1997817
1821,68,68,0,0,57840,57840,57772,0,1881,1824498
1822,100,100,0,0,97671,97670,97571,1,2123,1802474
1823,232,232,0,0,225126,225124,224894,2,2487,2088863
1824,39,39,0,0,34206,34206,34167,0,1761,1591754
1825,190,190,0,0,142583,142583,142393,0,1934,2142105
1826,235,235,0,0,165811,165811,165576,0,1909,2167423
1827,262,262,0,0,216993,216990,216731,3,2317,2131311
1828,309,309,0,0,181397,181395,181088,2,1755,2165477
1829,250,250,0,0,199946,199946,199696,0,2279,1997930
1830,230,230,0,0,218837,218837,218607,0,2383,2109681
1831,69,69,0,0,46981,46981,46912,0,1445,1746822
1832,95,95,0,0,91837,91836,91742,1,2107,1805738
1833,77,77,0,0,69448,69448,69371,0,2425,1780848
1834,120,120,0,0,106364,106364,106244,0,2154,1959305
1835,450,450,0,0,225560,225560,225110,0,1828,2316529
1836,227,227,0,0,173696,173695,173469,1,2088,2044138
1837,342,342,0,0,320787,320785,320445,2,2612,2232514
1838,260,260,0,0,190843,190843,190583,0,2334,2105063
1839,167,167,0,0,103907,103907,103740,0,2036,2114804
1840,166,166,0,0,122803,122802,122637,1,1874,2084514
1841,267,267,0,0,170995,170994,170728,1,1692,2037567
1842,199,199,0,0,174807,174806,174608,1,2634,1915951
1843,115,115,0,0,103217,103217,103102,0,2639,1848952
1844,126,126,0,0,121798,121798,121672,0,2313,1993187
1845,309,309,0,0,310077,310076,309768,1,2960,2100199
1846,273,273,0,0,227759,227756,227486,3,2097,2179122
1847,123,123,0,0,99026,99026,98903,0,1608,1933783
1848,155,155,0,0,152461,152459,152306,2,3060,2021411
1849,364,364,0,0,194160,194159,193796,1,1460,2268128
1850,64,64,0,0,71381,71380,71317,1,2058,1791278
1851,305,305,0,0,225984,225982,225679,2,2106,2238487
1852,214,214,0,0,165544,165543,165330,1,2223,2081884
1853,260,260,0,0,192916,192915,192656,1,2474,2100067
1854,561,561,0,0,389331,389328,388770,3,2488,2497232
1855,154,154,0,0,83343,83342,83189,1,1412,1925700
1856,260,260,0,0,198432,198432,198172,0,1962,2069863
1857,308,308,0,0,175171,175171,174863,0,1587,2210307
1858,199,199,0,0,114354,114354,114155,0,1623,2013819
1859,92,92,0,0,125923,125922,125831,1,2712,1712101
1860,200,200,0,0,182914,182914,182714,0,2797,1931483
1861,134,134,0,0,128127,128126,127993,1,2136,1983427
1862,524,524,0,0,339613,339611,339089,2,2378,2294090
1863,298,298,0,0,221173,221172,220875,1,2252,2229691
1864,146,146,0,0,124962,124962,124816,0,2528,1808628
1865,232,232,0,0,161628,161627,161396,1,1857,1946819
1866,191,191,0,0,185685,185684,185494,1,2855,1999632
1867,246,246,0,0,209155,209155,208909,0,2345,2104940
1868,120,120,0,0,82372,82372,82252,0,1634,1819270
1869,108,108,0,0,98265,98265,98157,0,1849,1841774
1870,253,253,0,0,174130,174129,173877,1,1666,2021201
1871,262,262,0,0,202839,202838,202577,1,2044,2195744
1872,64,64,0,0,51494,51494,51430,0,2010,1779603
1873,128,128,0,0,137238,137235,137110,3,2492,1773536
1874,35,35,0,0,46763,46763,46728,0,2008,1650036
1875,362,362,0,0,242174,242172,241812,2,1732,2239077
1876,112,112,0,0,120257,120256,120145,1,2840,1740291
1877,148,148,0,0,120145,120145,119997,0,1908,2034098
1878,132,132,0,0,109104,109103,108972,1,1984,2023018
1879,138,138,0,0,130895,130893,130757,2,2045,1980811
1880,499,499,0,0,320521,320520,320022,1,2010,2392504
1881,280,280,0,0,232316,232316,232036,0,2253,2116772
1882,128,128,0,0,91330,91330,91202,0,2009,1977312
1883,108,108,0,0,90038,90038,89930,0,1848,1807076
1884,215,215,0,0,193335,193333,193120,2,2734,1926942
1885,401,401,0,0,226542,226542,226141,0,1958,2140147
1886,119,119,0,0,110116,110116,109997,0,2010,1952212
1887,110,110,0,0,113238,113238,113128,0,2459,1806161
1888,502,502,0,0,332543,332543,332041,0,2417,2362162
1889,343,343,0,0,169364,169364,169021,0,1358,2290470
1890,271,271,0,0,237625,237624,237354,1,2324,2181712
1891,507,507,0,0,316033,316032,315526,1,2070,2395496
1892,112,112,0,0,94827,94827,94715,0,1775,1948506
1893,230,230,0,0,174570,174570,174340,0,1981,2069540
