G8_CORNERS degree=4 profile_size=14
TARGET 04440040 profile=937,6035,7043,11026,12703,19914,20467,24240,24336,27240,30400,33841,35596,36352
TARGET 04440044 profile=5919,7688,11848,11985,12284,19396,19630,20198,25237,29544,30978,34176,34441,38644
TARGET 04440400 profile=5,7632,8644,12170,12184,14568,18486,18645,19960,24240,27312,33817,35315,39480
TARGET 04440404 profile=3,5985,7043,7795,12180,18576,19882,20463,23040,23586,30406,30456,35760,39106
TARGET 04440440 profile=2881,11826,14568,17754,18203,19024,21360,25204,28834,33841,35313,36675,36897,38856
TARGET 04440444 profile=720,904,5985,7692,11854,14586,17836,18203,22770,26401,29530,34176,38169,38644
TARGET 04444000 profile=193,6838,11871,14401,14555,17737,20501,23034,24240,25202,26110,29146,30406,39696
TARGET 04444004 profile=13,6804,8868,10961,11858,17850,17970,20501,23795,25236,27280,34183,35160,38880
TARGET 04444040 profile=5,898,1900,7527,7811,11830,14586,19024,19630,23041,24336,26433,33882,40200
TARGET 04444044 profile=486,2881,5043,7023,7752,11848,12848,17874,18645,23793,29154,29526,35166,36310
TARGET 04444400 profile=1,5,5985,6832,11868,19027,22914,24489,26353,27240,28834,33183,39106,40224
TARGET 04444404 profile=24,152,5921,11854,12237,17715,19624,23048,24964,26104,32051,34662,35320,39096
TARGET 04444440 profile=4,1489,8808,11829,12550,14404,17754,19269,24555,26352,28800,34446,36310,38644
TARGET 04444444 profile=6783,6994,10953,11830,12155,20487,23824,24250,25202,25272,29401,35282,38221,39096
TARGET 40000000 profile=1106,7524,7555,11036,14406,14586,20117,20131,20509,25205,30419,34186,34194,35779
TARGET 40000004 profile=181,747,7524,11081,12113,14768,19669,24011,26807,33183,34447,35060,35770,35779
TARGET 40000040 profile=2002,5996,7558,14407,18645,18799,20546,20554,26807,30127,30417,32130,36672,38171
TARGET 40000044 profile=1812,1883,7514,7680,11079,12109,14407,20117,20528,26987,29806,34447,35138,35378
TARGET 40000400 profile=742,6417,17971,18550,19516,20324,20528,20554,26807,31686,32316,34663,36675,39097
TARGET 40000404 profile=949,3003,7244,7531,11013,14768,19669,22768,24489,26439,28843,29407,30405,32356
TARGET 40000440 profile=745,1900,3005,7189,11075,18347,20554,22770,26446,32282,32356,33153,36262,38738
TARGET 40000444 profile=960,3097,9008,9012,11012,14768,14772,18549,19397,19923,22770,29407,29746,30366
TARGET 40004000 profile=748,749,6809,9012,12599,12848,14564,19264,19966,30746,33183,35770,35779,40178
TARGET 40004004 profile=27,747,7030,8826,12852,19095,19419,20060,20554,23793,26439,29146,35325,39166
