G8_CORNERS degree=6 profile_size=20
TARGET 06066006 profile=3002,7524,7681,8647,8826,12912,14761,17874,17874,17874,17953,19266,20136,25206,25206,27280,29522,32051,32316,36474
TARGET 06066060 profile=192,1812,6035,7238,7514,10967,12568,14761,17848,18345,18645,20314,23682,25176,25176,25207,33874,35378,40201,40201
TARGET 06066066 profile=192,5919,5919,7238,8826,14578,17953,19266,23002,23034,23040,23823,24456,25362,26436,27096,30400,34441,34441,35406
TARGET 06066600 profile=1,1004,2116,6045,6045,6832,6921,7524,12598,12598,20458,23529,24541,24964,30721,32282,34186,35160,38890,39090
TARGET 06066606 profile=4,272,6780,6921,8819,11081,12284,17874,19030,22770,23232,24378,24541,27286,28834,30406,32316,38882,38882,38882
TARGET 06066660 profile=2887,5915,7232,11826,12574,12840,17728,18347,18640,19630,20467,24246,25176,25236,25418,26402,26440,39602,39602,39602
TARGET 06066666 profile=744,937,6039,6039,12840,18345,19966,20467,22755,22768,23052,24456,24541,25236,26073,29146,29737,33842,34560,34560
TARGET 06600000 profile=22,22,204,940,6047,12203,14568,18203,19072,19194,19914,19914,23376,24250,26400,29538,33192,36459,39106,40206
TARGET 06600006 profile=196,2002,5973,5973,5973,14404,19194,19194,19270,23640,24541,24964,25418,26073,26352,30402,30405,33865,36459,39106
TARGET 06600060 profile=486,1900,2002,5986,7043,11037,12064,14768,17746,19672,19914,23041,23082,27240,29754,30240,32130,33841,36675,40200
TARGET 06600066 profile=200,205,874,1813,5919,8817,9008,12112,12112,12112,12274,19624,26472,27276,34440,34440,34440,36310,38235,40178
TARGET 06600600 profile=1882,2116,8644,8826,11085,12184,12184,12184,14628,17953,18646,20528,25202,27241,33600,33600,35320,36352,36450,40200
TARGET 06600606 profile=1320,2116,6783,7072,8644,11851,12203,18544,18576,19410,23040,23040,23040,27286,30241,32316,32355,36450,38890,38898
TARGET 06600660 profile=22,480,6035,10959,17746,18203,18549,19966,20130,20458,20554,23376,25417,28801,28801,29746,32352,38643,39600,39600
TARGET 06600666 profile=181,1842,7005,9072,11824,11824,11824,17737,19410,20450,26081,26401,29545,29754,30244,32316,33610,35284,35337,39106
TARGET 06606000 profile=5,5,5,884,5997,7030,9001,19264,19269,20016,24541,25176,25176,25236,26987,27241,29746,31990,33610,36675
