G8_CORNERS degree=3 profile_size=11
TARGET 33000330 profile=2964,5996,8085,12618,14768,18642,19396,20463,30121,30366,36675
TARGET 33000333 profile=1624,7069,8647,8868,14406,18576,22387,23616,26987,27312,33192
TARGET 33003000 profile=554,1992,6716,11875,14406,20467,26819,33155,33816,36352,39097
TARGET 33003003 profile=13,2887,8826,19266,20483,26097,32049,32857,36349,38646,39097
TARGET 33003030 profile=204,6035,26075,26099,31737,33153,33201,35322,36371,37921,40100
TARGET 33003033 profile=13,192,5920,7503,18347,20616,22783,33153,34195,34657,39703
TARGET 33003300 profile=6832,9008,12275,12592,14564,19516,25202,32138,33192,35775,39097
TARGET 33003303 profile=180,3002,6040,6306,20509,21909,23010,28843,32029,34770,35770
TARGET 33003330 profile=5065,7027,9000,12306,12592,18696,26433,27247,33183,38169,39697
TARGET 33003333 profile=12,9008,12549,12848,18498,19180,20220,26241,29137,36360,39703
TARGET 33030000 profile=205,6045,10266,14628,14827,22900,23021,25956,30721,36474,38644
TARGET 33030003 profile=196,1327,5920,20912,22900,22914,26921,27280,31720,38644,39697
TARGET 33030030 profile=1822,7238,12170,12190,26099,27252,30246,33207,34441,36307,36456
TARGET 33030033 profile=2002,7714,12154,18203,21368,22816,23040,29522,29544,32356,39602
TARGET 33030300 profile=272,6045,12154,14772,18192,19900,20512,27280,33841,35046,35779
TARGET 33030303 profile=18,2886,6783,6923,14768,22823,29146,30419,33090,35762,36457
TARGET 33030330 profile=1846,2917,4377,11075,11985,19900,20244,23682,26099,32355,34562
TARGET 33030333 profile=1501,2883,2917,7680,12544,12568,22768,35760,36459,38682,39878
TARGET 33033000 profile=8647,12595,14578,18304,20518,24964,25453,26099,30744,35315,36672
TARGET 33033003 profile=29,905,7758,8818,12852,17835,18201,22900,35167,35760,36459
TARGET 33033030 profile=2881,2887,8672,11075,12841,19072,19613,24940,29730,32049,34441
TARGET 33033033 profile=180,7688,12571,17775,22900,23232,27242,29522,32217,35284,36636
TARGET 33033300 profile=152,6046,6972,12852,14110,14768,18640,20512,30744,36450,39481
TARGET 33033303 profile=42,3006,6994,7232,12159,19812,22900,23586,29736,32051,35161
TARGET 33033330 profile=25,6046,8677,17754,18604,23571,23842,26819,32139,35770,36360
TARGET 33033333 profile=6994,8646,18578,19627,20463,20524,25206,27090,29732,32107,35280
TARGET 33300000 profile=949,2916,5996,10958,12180,20016,24274,33201,35326,36459,40098
TARGET 33300003 profile=180,484,2916,12154,12229,19397,22888,26101,35184,36672,38640
TARGET 33300030 profile=3005,5526,5986,5996,18544,23290,23643,30400,34440,36459,38116
TARGET 33300033 profile=937,1897,5970,9000,19170,20722,26085,26243,32139,34446,38169
TARGET 33300300 profile=4,5996,12164,18550,19965,20534,23530,29736,30289,35636,38232
TARGET 33300303 profile=240,1320,1813,12108,14140,17962,19965,26435,33606,34656,36369
TARGET 33300330 profile=1843,1900,5915,14401,14760,18706,18724,23682,26435,33198,33738
TARGET 33300333 profile=2883,6780,8826,11973,12109,19901,20216,20467,27216,29737,35376
TARGET 33303000 profile=5,3001,7020,12274,19194,26075,32107,32372,35537,36675,39696
TARGET 33303003 profile=8079,10961,23052,24550,26079,30400,30419,32051,35325,35766,36349
